Club,Elo,Country
1 Man City,2051,ENG
2 Real Madrid,1972,ESP
3 Bayern,1954,GER
4 Inter,1950,ITA
5 Liverpool,1947,ENG
6 Arsenal,1931,ENG
7 Paris SG,1879,FRA
8 Atlético,1876,ESP
9 Leverkusen,1867,GER
10 Barcelona,1862,ESP
11 Dortmund,1851,GER
12 Juventus,1851,ITA
13 Aston Villa,1844,ENG
14 Milan,1843,ITA
15 Tottenham,1840,ENG
16 Real Sociedad,1815,ESP
17 Napoli,1815,ITA
18 RB Leipzig,1813,GER
19 PSV,1811,NED
20 Man United,1808,ENG
21 Newcastle,1804,ENG
22 Brighton,1802,ENG
23 Porto,1800,POR
24 Girona,1798,ESP
25 Benfica,1796,POR
26 Atalanta,1790,ITA
27 West Ham,1787,ENG
28 Bilbao,1777,ESP
29 Sporting,1775,POR
30 Roma,1774,ITA
31 Lazio,1763,ITA
32 Chelsea,1762,ENG
33 Lens,1760,FRA
34 Wolves,1749,ENG
35 Brentford,1738,ENG
36 Lille,1734,FRA
37 Stuttgart,1733,GER
38 Fiorentina,1733,ITA
39 Feyenoord,1731,NED
40 Bologna,1729,ITA
41 Leicester,1729,ENG
42 Betis,1728,ESP
43 Everton,1726,ENG
44 Marseille,1724,FRA
45 Rennes,1718,FRA
46 Nice,1716,FRA
47 St Gillis,1715,BEL
48 Crystal Palace,1712,ENG
49 Valencia,1711,ESP
50 Fulham,1711,ENG
51 Torino,1708,ITA
52 Frankfurt,1708,GER
53 Bournemouth,1706,ENG
54 Villarreal,1704,ESP
55 Galatasaray,1703,TUR
56 Slavia Praha,1699,CZE
57 Monaco,1697,FRA
58 Freiburg,1696,GER
59 Fenerbahçe,1688,TUR
60 Brugge,1685,BEL
61 Salzburg,1682,AUT
62 Brest,1677,FRA
63 Getafe,1675,ESP
64 Sevilla,1670,ESP
65 Wolfsburg,1669,GER
66 Gladbach,1669,GER
67 Зенит,1666,RUS
68 Forest,1664,ENG
69 Ajax,1664,NED
70 Sparta Praha,1663,CZE
71 Braga,1660,POR
